2-THETA,INTENSITY
2,5485
2.05,9768
2.1,8878
2.15,7999
2.2,10136
2.25,6458
2.3,8645
2.35,6555
2.4,8057
2.45,8164
2.5,6579
2.55,7254
2.6,6199
2.65,6159
2.7,6883
2.75,5683
2.8,5957
2.85,5687
2.9,5144
2.95,5149
3,4695
3.05,5327
3.1,4816
3.15,4364
3.2,4774
3.25,3948
3.3,4179
3.35,4094
3.4,3700
3.45,3938
3.5,3210
3.55,3549
3.6,3131
3.65,3378
3.7,3120
3.75,2717
3.8,3008
3.85,2739
3.9,2724
3.95,2923
4,2467
4.05,2707
4.1,2370
4.15,2430
4.2,2410
4.25,2062
4.3,2250
4.35,2152
4.4,2200
4.45,2228
4.5,1916
4.55,2017
4.6,1948
4.65,1879
4.7,1929
4.75,1721
4.8,1786
4.85,1761
4.9,1716
4.95,1743
5,1709
5.05,1603
5.1,1661
5.15,1489
5.2,1580
5.25,1443
5.3,1558
5.35,1449
5.4,1440
5.45,1461
5.5,1465
5.55,1383
5.6,1409
5.65,1385
5.7,1342
5.75,1359
5.8,1367
5.85,1375
5.9,1283
5.95,1169
6,1220
6.05,1264
6.1,1197
6.15,1138
6.2,1158
6.25,1107
6.3,1215
6.35,1119
6.4,1141
6.45,1085
6.5,1145
6.55,1133
6.6,1096
6.65,1125
6.7,1034
6.75,1052
6.8,1043
6.85,1101
6.9,984
6.95,1002
7,959
7.05,997
7.1,1015
7.15,1060
7.2,984
7.25,1065
7.3,1010
7.35,994
7.4,994
7.45,982
7.5,955
7.55,1056
7.6,1015
7.65,986
7.7,968
7.75,892
7.8,992
7.85,946
7.9,910
7.95,954
8,939
8.05,926
8.1,979
8.15,908
8.2,949
8.25,921
8.3,975
8.35,953
8.4,872
8.45,940
8.5,877
8.55,877
8.6,976
8.65,956
8.7,966
8.75,921
8.8,935
8.85,997
8.9,1020
8.95,1049
9,942
9.05,923
9.1,990
9.15,954
9.2,993
9.25,948
9.3,912
9.35,969
9.4,954
9.45,950
9.5,968
9.55,961
9.6,992
9.65,951
9.7,1024
9.75,1024
9.8,1025
9.85,994
9.9,979
9.95,1007
10,991
10.05,978
10.1,993
10.15,1058
10.2,1043
10.25,1031
10.3,930
10.35,951
10.4,992
10.45,897
10.5,916
10.55,933
10.6,949
10.65,887
10.7,873
10.75,805
10.8,775
10.85,792
10.9,735
10.95,733
11,728
11.05,708
11.1,712
11.15,669
11.2,699
11.25,675
11.3,586
11.35,560
11.4,542
11.45,535
11.5,520
11.55,579
11.6,536
11.65,528
11.7,502
11.75,479
11.8,483
11.85,435
11.9,497
11.95,507
12,458
12.05,492
12.1,484
12.15,460
12.2,463
12.25,410
12.3,462
12.35,439
12.4,481
12.45,447
12.5,414
12.55,438
12.6,446
12.65,453
12.7,445
12.75,448
12.8,435
12.85,410
12.9,473
12.95,413
13,472
13.05,427
13.1,452
13.15,420
13.2,408
13.25,436
13.3,447
13.35,419
13.4,449
13.45,442
13.5,454
13.55,464
13.6,457
13.65,417
13.7,468
13.75,439
13.8,459
13.85,470
13.9,416
13.95,441
14,423
14.05,418
14.1,462
14.15,428
14.2,443
14.25,414
14.3,436
14.35,448
14.4,459
14.45,494
14.5,430
14.55,483
14.6,450
14.65,484
14.7,417
14.75,429
14.8,441
14.85,449
14.9,441
14.95,429
15,429
15.05,447
15.1,424
15.15,431
15.2,411
15.25,432
15.3,446
15.35,433
15.4,410
15.45,406
15.5,433
15.55,405
15.6,459
15.65,425
15.7,431
15.75,477
15.8,496
15.85,536
15.9,579
15.95,619
16,638
16.05,631
16.1,626
16.15,589
16.2,574
16.25,543
16.3,512
16.35,471
16.4,467
16.45,459
16.5,473
16.55,460
16.6,431
16.65,456
16.7,444
16.75,488
16.8,443
16.85,453
16.9,465
16.95,470
17,475
17.05,463
17.1,510
17.15,515
17.2,498
17.25,457
17.3,484
17.35,486
17.4,463
17.45,501
17.5,484
17.55,506
17.6,507
17.65,523
17.7,541
17.75,533
17.8,536
17.85,512
17.9,531
17.95,488
18,521
18.05,518
18.1,514
18.15,539
18.2,538
18.25,548
18.3,555
18.35,541
18.4,531
18.45,510
18.5,525
18.55,555
18.6,520
18.65,539
18.7,553
18.75,570
18.8,533
18.85,549
18.9,583
18.95,550
19,579
19.05,545
19.1,524
19.15,561
19.2,543
19.25,554
19.3,531
19.35,578
19.4,546
19.45,555
19.5,527
19.55,508
19.6,551
19.65,504
19.7,527
19.75,520
19.8,527
19.85,542
19.9,564
19.95,530
20,560
20.05,572
20.1,557
20.15,540
20.2,549
20.25,550
20.3,559
20.35,559
20.4,549
20.45,549
20.5,564
20.55,566
20.6,567
20.65,574
20.7,565
20.75,595
20.8,581
20.85,571
20.9,575
20.95,569
21,551
21.05,571
21.1,584
21.15,567
21.2,574
21.25,562
21.3,538
21.35,585
21.4,564
21.45,552
21.5,581
21.55,534
21.6,549
21.65,578
21.7,531
21.75,572
21.8,566
21.85,608
21.9,575
21.95,603
22,637
22.05,652
22.1,669
22.15,666
22.2,652
22.25,651
22.3,660
22.35,673
22.4,697
22.45,734
22.5,756
22.55,803
22.6,877
22.65,901
22.7,910
22.75,930
22.8,1009
22.85,988
22.9,1045
22.95,1089
23,1064
23.05,993
23.1,1029
23.15,988
23.2,969
23.25,955
23.3,947
23.35,919
23.4,937
23.45,883
23.5,882
23.55,877
23.6,848
23.65,859
23.7,866
23.75,854
23.8,859
23.85,839
23.9,864
23.95,825
24,878
24.05,898
24.1,890
24.15,831
24.2,902
24.25,888
24.3,915
24.35,900
24.4,920
24.45,879
24.5,887
24.55,885
24.6,884
24.65,844
24.7,877
24.75,873
24.8,868
24.85,857
24.9,867
24.95,855
25,845
25.05,824
25.1,826
25.15,847
25.2,854
25.25,835
25.3,884
25.35,949
25.4,1042
25.45,1288
25.5,1529
25.55,1837
25.6,1983
25.65,2072
25.7,1964
25.75,1643
25.8,1327
25.85,1056
25.9,891
25.95,809
26,714
26.05,760
26.1,715
26.15,714
26.2,746
26.25,758
26.3,731
26.35,741
26.4,762
26.45,798
26.5,808
26.55,868
26.6,917
26.65,934
26.7,941
26.75,916
26.8,853
26.85,766
26.9,764
26.95,743
27,720
27.05,749
27.1,733
27.15,754
27.2,734
27.25,745
27.3,758
27.35,788
27.4,936
27.45,1049
27.5,1224
27.55,1415
27.6,1549
27.65,1647
27.7,1542
27.75,1383
27.8,1206
27.85,1057
27.9,920
27.95,857
28,816
28.05,769
28.1,779
28.15,769
28.2,785
28.25,842
28.3,900
28.35,980
28.4,1078
28.45,1123
28.5,1197
28.55,1139
28.6,1135
28.65,1047
28.7,960
28.75,852
28.8,836
28.85,738
28.9,774
28.95,776
29,753
29.05,738
29.1,761
29.15,761
29.2,767
29.25,784
29.3,793
29.35,820
29.4,804
29.45,883
29.5,891
29.55,940
29.6,967
29.65,1017
29.7,1064
29.75,1097
29.8,1080
29.85,1072
29.9,1051
29.95,1030
30,965
30.05,876
30.1,869
30.15,813
30.2,805
30.25,799
30.3,790
30.35,744
30.4,731
30.45,744
30.5,732
30.55,720
30.6,734
30.65,789
30.7,842
30.75,908
30.8,910
30.85,1042
30.9,1058
30.95,1051
31,1052
31.05,1050
31.1,1051
31.15,1042
31.2,1043
31.25,963
31.3,928
31.35,895
31.4,904
31.45,861
31.5,835
31.55,829
31.6,834
31.65,814
31.7,800
31.75,825
31.8,824
31.85,842
31.9,887
31.95,926
32,998
32.05,1100
32.1,1271
32.15,1526
32.2,1788
32.25,2167
32.3,2591
32.35,2935
32.4,3237
32.45,3256
32.5,3168
32.55,3060
32.6,2902
32.65,2754
32.7,2610
32.75,2359
32.8,2046
32.85,1782
32.9,1477
32.95,1239
33,1115
33.05,1120
33.1,1158
33.15,1221
33.2,1218
33.25,1171
33.3,1090
33.35,919
33.4,847
33.45,749
33.5,711
33.55,690
33.6,677
33.65,658
33.7,694
33.75,648
33.8,621
33.85,662
33.9,655
33.95,651
34,635
34.05,631
34.1,640
34.15,619
34.2,627
34.25,609
34.3,666
34.35,710
34.4,714
34.45,821
34.5,945
34.55,1028
34.6,1047
34.65,1072
34.7,1075
34.75,1013
34.8,964
34.85,885
34.9,876
34.95,864
35,777
35.05,771
35.1,761
35.15,776
35.2,839
35.25,904
35.3,944
35.35,1008
35.4,1063
35.45,1049
35.5,1047
35.55,1041
35.6,1019
35.65,989
35.7,975
35.75,935
35.8,938
35.85,920
35.9,916
35.95,912
36,883
36.05,911
36.1,924
36.15,897
36.2,850
36.25,798
36.3,771
36.35,697
36.4,704
36.45,661
36.5,669
36.55,716
36.6,758
36.65,837
36.7,887
36.75,933
36.8,958
36.85,909
36.9,842
36.95,826
37,767
37.05,804
37.1,803
37.15,767
37.2,777
37.25,789
37.3,773
37.35,769
37.4,718
37.45,742
37.5,727
37.55,719
37.6,686
37.65,647
37.7,602
37.75,612
37.8,618
37.85,630
37.9,625
37.95,637
38,669
38.05,646
38.1,648
38.15,682
38.2,673
38.25,677
38.3,656
38.35,656
38.4,659
38.45,713
38.5,678
38.55,674
38.6,677
38.65,654
38.7,652
38.75,660
38.8,620
38.85,614
38.9,622
38.95,646
39,648
39.05,636
39.1,614
39.15,610
39.2,655
39.25,666
39.3,659
39.35,715
39.4,754
39.45,746
39.5,771
39.55,752
39.6,678
39.65,647
39.7,666
39.75,637
39.8,634
39.85,624
39.9,626
39.95,663
40,655
40.05,664
40.1,673
40.15,673
40.2,728
40.25,772
40.3,748
40.35,754
40.4,752
40.45,760
40.5,747
40.55,800
40.6,799
40.65,831
40.7,863
40.75,837
40.8,896
40.85,895
40.9,880
40.95,876
41,915
41.05,872
41.1,951
41.15,923
41.2,979
41.25,1004
41.3,1021
41.35,1041
41.4,1085
41.45,1154
41.5,1231
41.55,1301
41.6,1367
41.65,1430
41.7,1372
41.75,1303
41.8,1302
41.85,1230
41.9,1230
41.95,1184
42,1092
42.05,1001
42.1,937
42.15,943
42.2,912
42.25,881
42.3,879
42.35,915
42.4,915
42.45,876
42.5,860
42.55,826
42.6,829
42.65,818
42.7,864
42.75,845
42.8,816
42.85,909
42.9,838
42.95,858
43,814
43.05,853
43.1,810
43.15,758
43.2,744
43.25,788
43.3,721
43.35,764
43.4,734
43.45,723
43.5,724
43.55,746
43.6,779
43.65,754
43.7,778
43.75,729
43.8,722
43.85,672
43.9,677
43.95,701
44,671
44.05,707
44.1,693
44.15,743
44.2,721
44.25,750
44.3,698
44.35,677
44.4,684
44.45,661
44.5,623
44.55,633
44.6,629
44.65,640
44.7,618
44.75,656
44.8,682
44.85,682
44.9,653
44.95,644
45,620
45.05,623
45.1,611
45.15,641
45.2,611
45.25,662
45.3,649
45.35,650
45.4,637
45.45,661
45.5,624
45.55,654
45.6,646
45.65,607
45.7,643
45.75,693
45.8,704
45.85,711
45.9,718
45.95,709
46,729
46.05,735
46.1,727
46.15,721
46.2,725
46.25,723
46.3,684
46.35,688
46.4,633
46.45,652
46.5,681
